"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R4","R0603","720mil","-600mil","720mil","-600mil","691.032mil","-600mil","T","0.00","10k 0603 1%"
"R5","R0603","720mil","-400mil","720mil","-400mil","748.968mil","-400mil","T","180.00","100R 0603 1%"
"R6","R0603","720mil","-800mil","720mil","-800mil","748.968mil","-800mil","T","180.00","100R 0603 1%"
"R7","R0603","720mil","-700mil","720mil","-700mil","748.968mil","-700mil","T","180.00","100R 0603 1%"
"R8","R0805","-800mil","-1810mil","-800mil","-1810mil","-836.468mil","-1810mil","T","0.00","255R 0805 1%"
"R9","R0805","-800mil","-1700mil","-800mil","-1700mil","-836.468mil","-1700mil","T","0.00","255R 0805 1%"
"R10","R0805","-800mil","-1600mil","-800mil","-1600mil","-836.468mil","-1600mil","T","360.00","255R 0805 1%"
"R11A","R0805","-110mil","720mil","-110mil","720mil","-73.531mil","720mil","T","180.00","Template - Resistor"
"R11B","R0805","-343.531mil","720mil","-343.531mil","720mil","-307.063mil","720mil","T","180.00","Template - Resistor"
"R11C","R0805","-660mil","740mil","-660mil","740mil","-623.532mil","740mil","T","180.00","Template - Resistor"
"R20A","R0805","-110mil","630mil","-110mil","630mil","-146.469mil","630mil","T","0.00","Template - Resistor"
"R12A","R0603","-1918.071mil","1806mil","-1918.071mil","1806mil","-1947.039mil","1806mil","T","360.00","Template - Resistor"
"R20B","R0805","-343.531mil","630mil","-343.531mil","630mil","-380mil","630mil","T","360.00","Template - Resistor"
"R12B","R0603","-1900.535mil","1429mil","-1900.535mil","1429mil","-1929.504mil","1429mil","T","360.00","Template - Resistor"
"R20C","R0805","-660mil","660mil","-660mil","660mil","-696.468mil","660mil","T","360.00","Template - Resistor"
"R12C","R0603","2370.354mil","843.465mil","2370.354mil","843.465mil","2370.354mil","814.497mil","T","90.00","Template - Resistor"
"R12D","R0603","1794mil","843.465mil","1794mil","843.465mil","1794mil","814.496mil","T","90.00","Template - Resistor"
"R13A","R0603","-1918.071mil","1961mil","-1918.071mil","1961mil","-1947.039mil","1961mil","T","360.00","Template - Resistor"
